Event_Slug,Target_Month,Target_Year,Option,Date,Implied_Probability,Actual_Fed_Rate,Rate_Shift,Bin_Type,Implied_Fed_Rate_Target,Math_Bounds,raw_mu,raw_sigma,smoothed_mu,smoothed_sigma
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-02,0.13,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.534753965549087,0.08,5.512420336356872,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-02,0.865,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.534753965549087,0.08,5.512420336356872,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-03,0.86,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.535865490960865,0.08,5.520235387891536,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-03,0.145,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.535865490960865,0.08,5.520235387891536,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-04,0.915,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.529415103927098,0.08,5.523295293236724,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-04,0.08,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.529415103927098,0.08,5.523295293236724,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-05,0.08,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5292640668763635,0.08,5.525284884449937,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-05,0.92,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5292640668763635,0.08,5.525284884449937,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-06,0.08,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5292640668763635,0.08,5.52661127859208,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-06,0.92,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5292640668763635,0.08,5.52661127859208,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-07,0.07,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.528010074807164,0.08,5.527077543997108,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-07,0.94,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.528010074807164,0.08,5.527077543997108,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-08,0.925,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.528642531785482,0.08,5.527599206593234,0.08000000000000004
